,mfcc
15,"[-6.3737708e+02  8.7744164e+01  6.5992907e-02  2.0393475e+01
  7.4942694e+00  1.1543511e+01 -7.9639068e+00  7.9405975e+00
 -1.1001831e+01 -2.3395996e+00 -1.5976927e+01  1.8794037e+00
 -2.8456298e-01]"
16,"[-5.9297437e+02  8.0226524e+01 -8.9634933e+00  1.2236634e+01
 -4.3090386e+00  9.1576252e+00 -8.0438509e+00 -3.7778397e+00
 -1.4789705e+01 -4.0238132e+00 -1.2403929e+01 -6.2943258e+00
 -2.3023686e-01]"
17,"[-561.8108      85.89342     -9.345405     6.4616494    0.8090619
   10.109625    -7.2441936   -3.9452646  -10.848324    -5.53994
  -15.1686      -4.4446054    3.8076797]"
18,"[-494.68814     87.14605    -13.107321    13.544893    -1.7168089
   11.904681   -10.867555    -0.6481498  -14.26858     -8.236407
  -19.617317    -1.0932518    1.3710737]"
19,"[-511.63116     90.273254   -11.9972      15.211539    -4.0509086
   12.557178   -13.09239      1.1666125  -14.937445    -7.219259
  -19.216898    -3.8574123   -0.5212373]"
20,"[-670.51294     92.95104      2.8995955   13.799618     9.910654
   14.952795    -9.223561     6.744227   -10.489694    -5.458031
  -11.378435    -1.8697308   -3.881353 ]"
21,"[-6.9847308e+02  8.9298218e+01 -1.6380517e-02  1.2465760e+01
  9.3416834e+00  1.3405779e+01 -7.3295202e+00  7.1390500e+00
 -8.2981176e+00 -5.4303946e+00 -9.9936657e+00 -2.9655647e+00
 -1.0568291e+00]"
22,"[-7.3655853e+02  8.5157112e+01  1.5393006e+00  1.2181321e+01
  9.3534946e+00  1.2640303e+01 -7.1168365e+00  5.6962447e+00
 -8.3725491e+00 -4.9935508e+00 -1.0318770e+01 -2.1673684e-01
 -1.2864230e+00]"
23,"[-7.1130035e+02  8.2087585e+01  4.6137886e+00  1.5413197e+01
  9.2397861e+00  1.2424932e+01 -6.4986663e+00  8.8965368e+00
 -7.5231180e+00 -5.2812114e+00 -1.1547436e+01 -3.1812277e-01
 -2.4358521e+00]"
24,"[-6.5877649e+02  9.4786591e+01  5.2406516e+00  1.6930872e+01
  1.0906416e+01  1.5757645e+01 -9.5613785e+00  7.4210567e+00
 -1.0468702e+01 -5.2596908e+00 -1.0057979e+01  4.9052036e-01
 -2.8327694e+00]"
25,"[-621.7444      83.77486     -5.473866    14.440798     3.554013
   13.140596    -9.616162    -1.1957057   -9.946202    -7.0191374
  -15.214837    -1.2975602   -1.4000841]"
26,"[-6.1430469e+02  8.6861610e+01 -3.0226293e+00  1.3750459e+01
  8.2371702e+00  1.2465069e+01 -9.0655985e+00  1.7240587e+00
 -1.1559700e+01 -8.5908804e+00 -1.8697817e+01  2.2821575e-01
 -2.1242838e+00]"
27,"[-590.8235      85.05163     -6.003866    17.801983     4.241767
   12.454252   -10.66673      1.8780818  -11.5682955   -7.5208716
  -16.433092     0.6732736   -1.1815033]"
28,"[-527.5346       77.09553     -11.460114     17.617579      1.5996015
    7.841974     -9.919206      3.0061054    -5.6685123    -1.708659
  -14.933348     -1.2215662    -0.76214516]"
29,"[-503.04422     76.990845   -12.485226    18.164997    -4.236612
    8.000604   -11.916447     2.0379307  -13.254022    -6.4060206
  -14.542469    -3.7892098   -4.26958  ]"
30,"[-568.05994      66.57551      -2.7805982    15.660285      2.786534
    7.588936     -7.688017      2.9165032    -8.68186      -4.8489156
  -12.518841     -0.78005195   -2.764064  ]"
31,"[-5.1589667e+02  7.1950516e+01 -5.0168428e+00  1.5436719e+01
 -2.6623631e-01  9.7103739e+00 -1.0657470e+01  3.4176629e+00
 -7.8794856e+00 -6.5952353e+00 -1.4462836e+01 -2.1090465e+00
 -1.2991160e+00]"
32,"[-317.91428      67.42416     -31.240606      7.102178    -14.803004
   -0.80971074  -16.438402     -2.8096905   -22.661545     -8.011649
  -17.639675     -7.375061     -8.626883  ]"
33,"[-341.22446     76.48201    -31.749788    15.208477   -13.19036
    5.3722014  -19.480347    -1.7330039  -13.950519    -6.4427996
  -20.064426    -7.6948447   -5.4596257]"
34,"[-367.6475      66.7908     -29.578074    16.357922   -11.702197
    6.850669   -16.7684       0.5825888  -14.478534    -5.358935
  -19.611101    -3.2823577   -4.106081 ]"
35,"[-241.56386     61.58918    -37.607418     6.847745   -21.055721
    2.65548    -22.664757    -5.7058287  -26.066004    -5.9979315
  -24.669142    -6.767244    -5.573431 ]"
36,"[-5.8668256e+02  8.2094818e+01 -3.6129418e-01  1.6440462e+01
  5.4776363e+00  1.7292395e+01 -1.0611963e+01  4.5793190e+00
 -1.0556389e+01 -6.1524138e+00 -1.1389141e+01  3.6600605e-01
 -3.4836757e+00]"
37,"[-602.76385     84.82212     -5.2001657   11.259874     2.5467935
   13.857604   -11.5306225    1.3431593  -14.570258   -10.082877
  -15.230791    -0.645337    -2.9944627]"
38,"[-620.3421      81.38423      3.1707828   21.344666     7.4304852
   16.920452    -5.584088     6.907907    -8.548178    -3.2761579
   -8.660665     1.8677689   -1.191109 ]"
39,"[-603.65314     93.77421     -2.9003873   17.29147      7.9981117
   16.11174     -8.103493     5.790979   -13.591052    -6.7056284
  -10.535581     2.359433    -1.9519674]"
40,"[-420.89514     75.76195    -25.105238    16.419098    -5.035615
   13.916544    -8.730635     4.2488275  -14.279258    -7.1650114
  -15.268172    -2.341331    -0.7072894]"
41,"[-379.3348      77.988      -20.235594     1.593334    -9.726796
   13.273692   -11.237353    -2.5269728  -18.277477   -13.138928
  -17.592337    -8.655816    -4.024543 ]"
42,"[-361.0331      66.30926    -25.21735      9.008086   -13.946533
    6.762281   -14.380275     1.001483   -21.353083   -11.606724
  -16.938065    -7.9253817   -4.288171 ]"
43,"[-404.54562     75.84107    -20.376379     7.4883094   -9.922661
   11.39323     -9.456201    -1.374176   -20.160831    -7.0455484
  -19.068201    -7.192011     0.7580935]"
44,"[-6.39657593e+02  8.92906342e+01  5.94930165e-02  1.30048351e+01
  2.28608537e+00  1.47432785e+01 -9.23813438e+00  3.96248293e+00
 -1.31643076e+01 -2.88519883e+00 -1.62980042e+01 -8.46181139e-02
  2.64973640e-01]"
45,"[-6.0275928e+02  8.0398712e+01 -3.1460205e-01  1.2720279e+01
 -5.6714554e+00  1.6813004e+01 -1.0844672e+01  3.0088823e+00
 -1.5312469e+01 -1.7214690e+00 -1.8114733e+01  8.9440954e-01
 -1.4149091e+00]"
46,"[-653.8372       96.28          7.609328     20.362045      4.8732123
   14.420599     -5.576988      9.777185    -18.475655     -0.92103225
  -10.589732      3.1710248    -4.3853674 ]"
47,"[-648.0448      85.31778      1.5706457   14.616081     2.6780238
   10.600766    -5.2024903    7.7764077  -18.282955    -1.1585915
  -11.107358     3.9834719   -1.7471608]"
48,"[-468.55722     75.438866    -6.249478    11.284738   -18.605295
    5.162016   -10.887171    -1.390592   -21.535025   -11.578372
  -14.235485    -7.0445013   -4.7659063]"
49,"[-478.5979      69.463776   -11.791792    12.355726   -11.452902
    4.933224   -15.935279    -4.9282594  -23.575502    -5.278602
  -10.723175    -5.4168186   -4.953558 ]"
50,"[-487.8743       79.15031       4.9810243    23.75647     -16.151064
    8.505342     -9.308446      0.95038676  -24.965225     -4.859966
   -8.039758     -7.897328    -10.855739  ]"
51,"[-458.06674     76.847206    -1.3775615   11.856622    -9.881052
    7.2677608  -10.524201    -3.7536433  -24.781725    -7.6519184
  -10.600329    -4.6389046   -8.739974 ]"
52,"[-654.4067      73.178055     2.7210622   10.643193     3.0340493
   11.452927    -7.2442474    1.2124969   -8.899797    -3.4751124
   -9.348881    -3.4019132    1.1322751]"
53,"[-6.7584125e+02  7.5346512e+01  5.0342001e-02  9.4093008e+00
  6.3642378e+00  1.2592316e+01 -6.3356614e+00 -3.2452061e-03
 -8.3646774e+00 -3.9491212e+00 -9.6263952e+00  1.0287265e+00
 -7.1732670e-01]"
54,"[-656.4125      81.132996     1.6597486   15.6110735    5.0167933
   11.800444    -7.898112     4.941908   -10.175442    -3.8606048
  -11.410898     1.3003988   -0.7130345]"
55,"[-6.6704236e+02  7.3339584e+01 -1.5501344e+00  1.3092784e+01
  1.7897803e-01  7.6940842e+00 -1.0145914e+01  3.8504295e+00
 -9.5202570e+00 -2.9072924e+00 -1.0605837e+01 -1.5001764e+00
 -1.3245562e+00]"
56,"[-594.51556      76.05802      -5.980314     11.629964      1.1355202
   13.0061035    -9.734632      0.96357745  -10.699816     -2.5620146
  -11.942936     -1.4382557     1.4377176 ]"
57,"[-555.1284      68.370445    -8.061879    12.312029    -1.5830638
    9.770252   -10.705862     2.310573   -11.752107    -3.722238
  -12.95845     -2.9677856   -1.0114974]"
58,"[-597.1701      74.495865    -9.152466    15.529021    -2.4264138
   11.246781   -11.869728     2.1825428  -10.789154    -7.376045
  -13.43893      1.1448987   -3.103626 ]"
59,"[-576.7043      72.48583     -7.405745    11.703295    -3.4067636
    9.351895    -7.7711573    1.1903684  -14.113565    -4.6851377
  -11.849466    -2.5354614   -0.9071311]"
60,"[-6.4348450e+02  8.0538689e+01 -7.6067133e+00  5.8671827e+00
  4.6539718e-01  1.8794695e+00 -1.1518654e+01  2.9842722e+00
 -1.3416641e+01 -2.3666172e+00 -4.7040124e+00 -2.1461086e-01
 -5.6480026e+00]"
61,"[-6.4327325e+02  7.6579697e+01 -9.8967428e+00  7.4947438e+00
  2.5546978e+00  8.7601322e-01 -1.0900360e+01  4.0772648e+00
 -1.3335104e+01  2.7455071e-01 -5.1831689e+00 -9.1347760e-01
 -4.4322367e+00]"
62,"[-601.63495     78.85691     -8.687177     3.8369286   -2.9096599
    1.9489391  -11.569515     2.9389596  -14.342183    -3.836889
   -6.1054068   -1.1118522   -6.298779 ]"
63,"[-630.7834      72.631256    -8.141457     5.884545    -3.2751653
    2.2829695  -12.894618     3.8176563  -15.189347    -3.4288282
   -7.237173    -1.7473326   -6.836611 ]"
64,"[-6.5006311e+02  8.6498611e+01 -4.0653558e+00  1.4525255e+01
  1.1092339e+00  3.8586962e+00 -1.1273457e+01  7.1981387e+00
 -1.4513145e+01  1.8066159e-01 -5.3569202e+00 -1.0201610e+00
 -4.4787889e+00]"
65,"[-636.9143      86.24947     -8.8798275   10.857316    -1.3351402
    3.1448936  -13.051571     5.9471345  -16.982843    -1.4338123
   -6.1453485   -3.2213879   -5.3009877]"
66,"[-641.0071      79.01062     -7.0273027   10.396914    -5.5952177
    5.153752   -12.285108     2.7739754  -14.530169    -3.639757
   -7.1884494   -1.2141483   -8.018174 ]"
67,"[-623.1515      83.749275   -10.322897     4.9799504   -6.974402
    2.9960732  -14.892365     2.6269028  -18.360197    -4.71812
   -8.041216    -2.1900196   -9.012632 ]"
68,"[-616.8558      79.94019     -6.0898166   11.557857    -0.7490694
    1.407682   -14.021162     4.229774   -13.0204115   -4.692179
   -7.691583    -2.167521    -5.139215 ]"
69,"[-628.8293      83.37958     -9.337121    11.238768    -2.7287025
    0.7777088  -12.660194     5.6528664  -17.36431     -2.1724749
   -7.736713    -2.4715242   -3.8148565]"
70,"[-618.65466     78.45804     -8.609176     9.749025   -10.401332
    3.2585275  -12.39804      1.7867057  -18.341438    -6.4777093
   -9.392424    -1.9677563   -8.8968935]"
71,"[-613.5015      82.61506     -6.2533164   11.188053    -8.611426
    4.500512   -12.738265     4.007837   -19.362808    -3.2891884
   -9.160953     1.1382438   -8.221298 ]"
72,"[-585.2816      75.00898    -22.487545     2.8060384    1.7674825
   -2.1678755  -11.82301      2.7147293  -14.056938    -7.0058813
   -2.8070483   -4.325189    -5.5740075]"
73,"[-598.81744      80.40299     -21.542467      7.150412      3.6910293
   -0.62624615  -14.174003      3.795989    -16.031223     -5.5868297
   -3.4535408    -4.7315483    -7.1873274 ]"
74,"[-585.6052      78.441826   -22.910873     3.2413359   -1.7050176
   -2.2649388  -12.893275    -1.131312   -17.991602    -9.229213
   -3.5711265   -4.9810147   -9.1045265]"
75,"[-5.8622876e+02  8.0365356e+01 -1.8305433e+01  6.5870790e+00
  2.0826963e-01 -3.6872730e-01 -1.2283542e+01 -8.2936692e-01
 -1.6211758e+01 -6.4567971e+00 -1.4868919e+00 -3.4859962e+00
 -7.4920640e+00]"
76,"[-477.43198     66.477684   -32.48717     -1.267495     1.7080406
   -8.139438   -19.749475    -1.594124   -16.272543   -10.742459
   -2.0598211  -11.118634    -9.808984 ]"
77,"[-476.94263     70.14907    -32.569283    -1.5820057    0.7860727
   -5.698772   -21.07274     -2.7980886  -15.110426   -10.123825
   -3.077503    -8.996855    -9.536142 ]"
78,"[-5.2931500e+02  7.0247719e+01 -2.3622345e+01  7.7911752e-01
 -3.8047054e-01 -1.8004320e+00 -1.7036179e+01 -5.5010567e+00
 -1.6950939e+01 -9.1661367e+00 -1.2149364e+00 -6.1318960e+00
 -1.2085579e+01]"
79,"[-515.9421      72.81392    -25.64852      2.139585    -2.2593868
   -3.1877408  -19.27235     -2.9413035  -16.968922   -10.5492935
   -4.495236    -8.293463   -12.456383 ]"
80,"[-662.26245     85.34127     -8.1693735    6.9416738   -1.6567956
    1.8186765  -13.149439     3.6744053  -17.392752    -2.9585512
   -8.237387    -2.4986274   -6.783853 ]"
81,"[-6.5203467e+02  8.7281158e+01 -8.9074936e+00  7.0646982e+00
 -5.6279409e-01  1.6664540e+00 -1.1845406e+01  4.4304624e+00
 -1.4183580e+01 -4.2689104e+00 -6.7422938e+00 -1.8247629e+00
 -5.2086840e+00]"
82,"[-647.9958      71.117035    -0.7378212    6.760831    -1.7925824
    1.7630568  -10.104997    -1.4518096  -15.767136    -4.9090185
   -4.597544    -3.3958085   -7.046842 ]"
83,"[-6.6498151e+02  7.5539406e+01 -4.4391561e+00  9.0610390e+00
 -8.4965086e-01  3.6568363e+00 -1.0125950e+01  9.2503019e-02
 -1.3487441e+01 -5.9025288e+00 -4.6662021e+00 -9.5882696e-01
 -6.6465287e+00]"
84,"[-650.0766      75.5273     -10.815497     7.063371    -2.7819235
   -2.6927106  -12.604649    -2.8421757  -16.825504    -9.290305
   -7.580734    -4.0896616   -8.249052 ]"
85,"[-666.09784     83.52294     -5.729722     9.941834    -1.3163888
    2.4560378  -11.5481615   -1.6856624  -16.76202     -6.718896
   -9.002425    -2.3373995   -7.8739834]"
86,"[-657.4491      72.56869     -6.846675     9.239918    -4.394896
    1.6050314  -10.898388    -3.0772793  -17.588558   -10.034894
   -9.862321    -3.8539531   -9.897503 ]"
87,"[-653.77844     72.98342     -8.998341     9.645967    -4.886097
    2.6978598  -14.541398    -3.9117734  -18.310644    -8.097718
   -7.9487786   -1.9783559  -11.115552 ]"
88,"[-5.5996124e+02  7.1601410e+01 -1.0990619e+01  5.9697800e+00
 -1.9903485e+00  4.0938437e-01 -1.1655296e+01  3.6750393e+00
 -1.2943148e+01 -5.6657715e+00 -3.6403673e+00 -2.6743636e+00
 -3.1773086e+00]"
89,"[-523.9492      72.355286   -18.254124     4.0935307   -1.5415384
   -1.3860756  -12.267297     3.206912   -15.093347    -3.1194298
   -2.60291     -0.7035086   -2.1833198]"
90,"[-557.57336     76.297844   -11.945172     7.5778575   -6.4659023
    0.6136965  -13.0092125    4.941395   -16.908932    -4.3155484
   -6.805436    -0.8255706   -7.676845 ]"
91,"[-542.73804     72.97966    -18.224928     5.23793     -7.1305485
   -2.1963131  -16.812805     5.293093   -18.582397    -5.3110123
   -6.672665    -1.7590066   -6.7162533]"
92,"[-432.2403      64.72489    -30.215515     0.7318535   -6.6851354
   -9.638147   -16.305384     5.1112523  -17.350393    -7.972119
   -2.182472    -6.476911    -4.5933485]"
93,"[-453.0834       72.68254     -31.923925      0.87346894   -7.4048905
   -9.221276    -16.399324      8.909776    -15.6613245    -8.077622
   -3.505459     -6.2190957    -4.7142634 ]"
94,"[-392.16614     60.87442    -37.064724    -6.609173   -13.856719
  -13.050361   -21.852144     3.7900794  -20.262466   -13.950949
   -6.424702    -9.148988    -9.960983 ]"
95,"[-401.35828     61.48242    -39.60672     -4.155156   -12.774016
  -14.246072   -20.148657     4.3617435  -19.543188   -12.811246
   -4.847771    -9.065812    -9.823445 ]"
96,"[-554.5645      67.91826    -31.605322     2.1498787   -6.3137326
   -3.9846692  -19.560724     1.4860917  -21.109066    -6.8738008
   -7.4184775   -7.493489    -7.567504 ]"
97,"[-556.6172      66.8647     -29.13334     -1.5919122   -6.9816
   -3.9826999  -17.853832     1.8212231  -21.161163    -9.249244
   -6.892187    -6.4058776   -8.295247 ]"
98,"[-5.4994806e+02  6.4408180e+01 -2.9976118e+01  1.6683908e+00
 -8.3558159e+00 -6.5462124e-01 -1.8587627e+01 -3.6596993e-01
 -2.2055902e+01 -8.0393181e+00 -5.3751488e+00 -4.1531119e+00
 -1.1000313e+01]"
99,"[-550.1634      59.753372   -30.918142    -2.9221969   -9.5691
   -1.5153157  -20.056559    -2.4581196  -24.246803    -8.877098
   -6.1002307   -5.0412636  -12.113285 ]"
100,"[-498.0358      53.58934    -39.464516    -4.7531824  -10.190453
   -9.284579   -21.595741    -1.7168819  -19.177996   -10.503435
   -5.394484    -4.435069   -11.654901 ]"
101,"[-488.27386    48.036385  -36.93391    -3.574183   -9.722385   -6.828948
  -22.10744    -1.313767  -17.740591  -12.014792   -6.18935    -6.511941
  -11.526638]"
102,"[-488.72977     43.79649    -33.81456     -3.5007231  -14.114463
   -3.2751813  -22.130962    -0.8220434  -17.618647    -8.517103
   -7.154094    -6.3341646  -12.438059 ]"
103,"[-480.75626     47.693787   -30.665087    -3.5035398  -12.373767
   -3.716192   -18.036913    -4.304914   -19.10441    -10.425773
   -3.4885268   -5.2750587  -11.081304 ]"
104,"[-6.2673047e+02  8.3892006e+01 -1.5281912e+01  8.6204681e+00
 -4.0048656e+00 -3.2009581e-01 -6.4303088e+00  9.1269654e-01
 -1.7652596e+01 -3.3137951e+00 -3.9804363e+00 -8.2444096e-01
 -6.4475932e+00]"
105,"[-6.4073871e+02  9.2061867e+01 -1.7095003e+01  1.0473999e+01
 -3.3099031e+00 -9.8548806e-01 -6.5270081e+00  1.6583496e+00
 -1.6491619e+01 -6.0869737e+00 -4.8801136e+00  5.1088572e-01
 -6.7148356e+00]"
106,"[-5.9921429e+02  9.0196053e+01 -1.1386172e+01  9.5246096e+00
 -5.2877078e+00  3.2543728e+00 -9.4162264e+00 -2.2594084e-01
 -1.6758968e+01 -7.5706682e+00 -4.1592402e+00  2.1953875e-01
 -1.0674116e+01]"
107,"[-6.0791406e+02  8.9166718e+01 -1.8278841e+01  8.1914787e+00
 -3.9411235e+00  4.2876606e-03 -1.1965081e+01 -1.4667256e+00
 -1.9453758e+01 -8.0142660e+00 -2.1921113e+00 -2.5003946e-01
 -1.1868698e+01]"
108,"[-540.5608      90.4697     -25.49097      9.225343    -8.105017
   -5.2161202  -13.153116     1.7162931  -20.836084    -8.799971
   -5.100279    -1.6952592   -9.908864 ]"
109,"[-5.4027222e+02  8.9350746e+01 -2.0938030e+01  1.1142793e+01
 -8.6128988e+00 -3.8674126e+00 -1.0941008e+01  3.3942564e+00
 -1.7379450e+01 -7.1936479e+00 -5.4454284e+00  5.0175840e-01
 -7.3289242e+00]"
110,"[-524.426       88.64356    -18.051212     4.613819   -10.222042
   -3.013902   -11.769158    -4.670838   -22.035397    -8.886315
   -4.451643    -3.5634933  -13.477032 ]"
111,"[-526.321       89.08183    -21.314075     6.452235    -9.9517
   -1.5540738  -12.883798    -3.178584   -19.205034    -7.8822393
   -4.959089    -0.6637562  -11.163616 ]"
112,"[-5.6774530e+02  6.3670013e+01 -1.8284781e+01  7.0768108e+00
 -1.1097987e+00  4.3661025e-01 -1.6336473e+01  5.9563551e+00
 -1.1445710e+01  4.4298917e-01 -5.5009470e+00 -2.5768797e+00
 -4.6979132e+00]"
113,"[-5.9292126e+02  6.5278526e+01 -1.8188477e+01  1.4352591e+00
 -2.8032734e+00 -1.9389416e-01 -1.3949004e+01  4.1681342e+00
 -1.1350864e+01 -2.9751437e+00 -7.0867791e+00 -3.8840878e+00
 -7.4006438e+00]"
114,"[-5.9025568e+02  6.5047386e+01 -1.5166115e+01  3.4823658e+00
 -5.0126677e+00 -2.1118270e-01 -1.5089910e+01  4.5505266e+00
 -1.4219237e+01 -3.3993726e+00 -5.2973380e+00 -2.8290143e+00
 -9.1830339e+00]"
115,"[-5.7761560e+02  6.4509018e+01 -1.8903502e+01  3.2468719e+00
 -3.5526254e+00 -1.4327626e-01 -1.8172421e+01  1.4154927e+00
 -1.5968497e+01 -4.2164726e+00 -7.3422871e+00 -3.4319224e+00
 -8.7949533e+00]"
116,"[-5.1821564e+02  6.5947166e+01 -2.5695631e+01  6.2602944e+00
 -6.1706982e+00 -4.2982948e-01 -1.5926760e+01  5.4549112e+00
 -1.4523075e+01 -3.1597259e+00 -6.3563852e+00 -3.8488357e+00
 -6.1055121e+00]"
117,"[-524.14923     68.36424    -26.910091     1.4394126   -6.038924
   -3.0643353  -17.939413     5.2687426  -13.217955    -2.817062
   -7.3603234   -3.1875744   -7.297814 ]"
118,"[-517.90515     57.244663   -19.393272     2.7105265  -10.565011
   -2.709307   -21.66977      4.4116664  -15.765025    -6.076271
   -8.794219    -4.0268164   -8.009337 ]"
119,"[-5.0081033e+02  6.6356461e+01 -2.5796980e+01  6.1279532e-02
 -1.5496648e+01 -2.4576812e+00 -2.0980103e+01  1.4651439e+00
 -1.9562473e+01 -6.2215166e+00 -7.8678756e+00 -5.2748404e+00
 -1.0365629e+01]"
120,"[-6.21847534e+02  8.55996170e+01 -2.26903224e+00  1.25131721e+01
  4.19697428e+00  1.03064165e+01 -5.74668312e+00 -6.20059013e+00
 -1.09489403e+01 -4.99897122e-01 -3.93779707e+00 -8.18158627e+00
 -3.97823900e-01]"
121,"[-621.8465      91.478645     4.7557793   17.33271      8.442767
   15.229119    -3.5032506   -2.2851138   -9.219959     2.0043087
   -1.3581694   -5.386058     0.7853928]"
122,"[-6.2983521e+02  9.2601196e+01 -4.6218543e+00  1.9079649e+01
  1.9242052e+00  1.5499069e+01 -6.9260235e+00 -4.3631911e+00
 -1.2796437e+01  1.3096969e+00 -6.8991475e+00 -6.3236523e+00
  5.6090814e-01]"
123,"[-6.19216431e+02  8.42922516e+01 -2.01732063e+00  1.88955460e+01
  6.74684048e-02  1.47371178e+01 -5.03825951e+00 -6.00812674e+00
 -1.37190619e+01 -1.48386955e-02 -7.68898582e+00 -6.59344196e+00
 -3.61783117e-01]"
124,"[-616.4834       99.93041       3.7112024    21.490295      0.79405147
   18.228039     -8.920995     -2.4517763   -13.779502      5.2220078
   -7.04468      -3.6246579     4.113449  ]"
125,"[-614.8335       99.01564      -2.8615143    18.60196       0.76524323
   16.209944    -10.287237     -3.3368983   -13.424805      3.9659762
   -5.5398145    -3.704053      4.200108  ]"
126,"[-611.9332     110.65914     -2.9120944   19.92316     -2.7113688
   25.203804   -10.929359    -9.522121   -11.850347    11.793361
  -10.690148    -3.5153883    9.006139 ]"
127,"[-510.19583     97.79754     -8.680052    18.255772    -7.8896756
   20.351212   -10.091975    -6.8125124  -16.636429     6.0273805
  -10.725539    -6.4123125    4.471193 ]"
128,"[-556.79816    116.87358     -8.083388    16.617975    -3.2680533
   15.266758   -12.590592    -6.639454   -16.016188     8.429691
   -9.713679    -6.7119856   11.024476 ]"
129,"[-500.2637     103.430695   -14.636636    13.81585     -1.1329216
   17.510017   -14.358788    -3.6124315  -17.131723     2.5480492
   -8.70843     -5.0182633    3.6531658]"
130,"[-484.83603    105.179825   -11.914498    19.904142    -5.207468
   21.562532   -12.417502    -4.956676   -17.281515     9.741184
  -12.645171    -4.5712395    7.9851394]"
131,"[-497.03427     99.26576    -12.864327    20.845907    -8.411692
   18.160595   -11.640337    -6.3085117  -19.059351     8.863208
   -9.54376     -5.7367096    8.073468 ]"
132,"[-536.149       99.83368    -11.307103     8.721784    -0.7195823
   13.44952     -8.070849    -5.0418754  -17.346432    -3.1973805
  -11.120447    -6.862486     4.2214828]"
133,"[-519.043       86.231224   -12.005002     4.8446918   -7.6638737
    7.4433813   -7.1069403   -3.9018412  -18.984049    -2.8779027
  -12.171323    -8.400798     1.6633933]"
